41701,0.95156,58,8
41723,0.95206,57,7
41745,0.95256,57,7
41679,0.95105,57,7
41635,0.95005,57,7
41646,0.9503,57,7
41602,0.9493,58,8
41657,0.95055,57,7
41756,0.95281,57,7
41745,0.95256,58,8
41701,0.95156,57,7
41877,0.95557,57,7
41657,0.95055,57,7
41635,0.95005,57,7
41723,0.95206,58,8
41712,0.95181,57,7
41789,0.95356,57,7
41690,0.95131,57,7
41613,0.94955,60,10
41690,0.95131,57,7
41668,0.9508,58,8
41734,0.95231,57,7
41712,0.95181,58,8
41734,0.95231,57,7
41723,0.95206,57,7
41701,0.95156,58,8
41712,0.95181,58,8
41734,0.95231,57,7
41745,0.95256,58,8
41668,0.9508,58,8
