25196,0.7489,80,5
33528,0.99655,92,17
27824,0.82701,102,27
28171,0.83733,98,23
30496,0.90643,106,31
29153,0.86651,95,20
29153,0.86651,109,34
22900,0.68066,79,4
31593,0.93904,98,23
31218,0.92789,103,28
29932,0.88967,101,26
25441,0.75618,76,1
27579,0.81973,105,30
33557,0.99741,92,17
28416,0.84461,100,25
26135,0.77681,105,30
26741,0.79482,85,10
33283,0.98927,101,26
32272,0.95922,104,29
25253,0.75059,83,8
29701,0.8828,100,25
31319,0.93089,103,28
32734,0.97295,92,17
28777,0.85534,97,22
29427,0.87466,103,28
33586,0.99828,87,12
29687,0.88239,101,26
29066,0.86393,103,28
31593,0.93904,87,12
33557,0.99741,95,20
