7922,0.9062,131,56
7805,0.89282,120,45
8253,0.94406,123,48
7332,0.83871,118,43
8245,0.94315,130,55
8361,0.95642,116,41
7797,0.8919,120,45
8203,0.93834,135,60
8452,0.96683,114,39
7797,0.8919,132,57
7988,0.91375,111,36
7483,0.85598,155,80
6877,0.78666,128,53
8684,0.99337,135,60
7955,0.90997,122,47
8261,0.94498,147,72
8220,0.94029,147,72
8311,0.9507,126,51
8510,0.97346,133,58
8742,1,141,66
7971,0.91181,119,44
7922,0.9062,125,50
8071,0.92324,126,51
8742,1,148,73
7955,0.90997,151,76
7706,0.88149,121,46
7614,0.87097,131,56
8187,0.93651,121,46
7283,0.8331,106,31
7100,0.81217,121,46
