43068,0.91982,205,130
37830,0.80795,119,44
43068,0.91982,220,145
38236,0.81662,80,5
44426,0.94883,277,202
45590,0.97369,209,134
45590,0.97369,294,219
41904,0.89496,221,146
43844,0.9364,258,183
43844,0.9364,214,139
45590,0.97369,194,119
45590,0.97369,223,148
45590,0.97369,188,113
43844,0.9364,241,166
43650,0.93225,263,188
45590,0.97369,217,142
42098,0.89911,155,80
37464,0.80014,78,3
43068,0.91982,146,71
44620,0.95297,213,138
45590,0.97369,193,118
43844,0.9364,216,141
45590,0.97369,237,162
41904,0.89496,215,140
43844,0.9364,198,123
45590,0.97369,202,127
35824,0.76511,79,4
43650,0.93225,234,159
45590,0.97369,244,169
45590,0.97369,188,113
