19448,0.8503,140,90,1
19320,0.8447,126,76,1
19480,0.8517,131,81,1
19448,0.8503,125,75,1
19448,0.8503,126,76,1
19320,0.8447,122,72,1
19320,0.8447,120,70,1
19320,0.8447,120,70,1
19320,0.8447,130,80,1
19320,0.8447,136,86,1
19320,0.8447,111,61,1
19384,0.8475,116,66,1
19384,0.8475,125,75,1
19320,0.8447,127,77,1
19528,0.8538,118,68,1
19320,0.8447,122,72,1
19320,0.8447,123,73,1
19448,0.8503,116,66,1
19384,0.8475,124,74,1
19480,0.8517,134,84,1
19320,0.8447,116,66,1
19432,0.8496,124,74,1
19528,0.8538,109,59,1
19320,0.8447,127,77,1
19320,0.8447,125,75,1
19320,0.8447,123,73,1
19320,0.8447,126,76,1
19432,0.8496,141,91,1
19320,0.8447,125,75,1
19320,0.8447,134,84,1
41701,0.95156,58,8,2
41723,0.95206,57,7,2
41745,0.95256,57,7,2
41679,0.95105,57,7,2
41635,0.95005,57,7,2
41646,0.9503,57,7,2
41602,0.9493,58,8,2
41657,0.95055,57,7,2
41756,0.95281,57,7,2
41745,0.95256,58,8,2
41701,0.95156,57,7,2
41877,0.95557,57,7,2
41657,0.95055,57,7,2
41635,0.95005,57,7,2
41723,0.95206,58,8,2
41712,0.95181,57,7,2
41789,0.95356,57,7,2
41690,0.95131,57,7,2
41613,0.94955,60,10,2
41690,0.95131,57,7,2
41668,0.9508,58,8,2
41734,0.95231,57,7,2
41712,0.95181,58,8,2
41734,0.95231,57,7,2
41723,0.95206,57,7,2
41701,0.95156,58,8,2
41712,0.95181,58,8,2
41734,0.95231,57,7,2
41745,0.95256,58,8,2
41668,0.9508,58,8,2
43068,0.91982,205,130,3
37830,0.80795,119,44,3
43068,0.91982,220,145,3
38236,0.81662,80,5,3
44426,0.94883,277,202,3
45590,0.97369,209,134,3
45590,0.97369,294,219,3
41904,0.89496,221,146,3
43844,0.9364,258,183,3
43844,0.9364,214,139,3
45590,0.97369,194,119,3
45590,0.97369,223,148,3
45590,0.97369,188,113,3
43844,0.9364,241,166,3
43650,0.93225,263,188,3
45590,0.97369,217,142,3
42098,0.89911,155,80,3
37464,0.80014,78,3,3
43068,0.91982,146,71,3
44620,0.95297,213,138,3
45590,0.97369,193,118,3
43844,0.9364,216,141,3
45590,0.97369,237,162,3
41904,0.89496,215,140,3
43844,0.9364,198,123,3
45590,0.97369,202,127,3
35824,0.76511,79,4,3
43650,0.93225,234,159,3
45590,0.97369,244,169,3
45590,0.97369,188,113,3
25041,0.96438,78,3,4
25433,0.97947,76,1,4
24541,0.94512,77,2,4
24930,0.9601,77,2,4
24952,0.96095,78,3,4
24693,0.95097,77,2,4
25126,0.96765,76,1,4
25503,0.98217,86,11,4
25333,0.97562,76,1,4
24952,0.96095,78,3,4
25163,0.96907,77,2,4
25300,0.97435,76,1,4
25448,0.98005,77,2,4
24619,0.94812,79,4,4
25152,0.96865,77,2,4
24704,0.9514,78,3,4
24767,0.95382,77,2,4
24885,0.95837,76,1,4
24426,0.94069,76,1,4
24745,0.95298,78,3,4
24989,0.96237,77,2,4
24841,0.95667,79,4,4
24745,0.95298,78,3,4
25403,0.97832,85,10,4
25189,0.97008,77,2,4
24789,0.95467,77,2,4
24830,0.95625,77,2,4
24556,0.9457,78,3,4
24978,0.96195,76,1,4
25059,0.96507,79,4,4
25196,0.7489,80,5,5
33528,0.99655,92,17,5
27824,0.82701,102,27,5
28171,0.83733,98,23,5
30496,0.90643,106,31,5
29153,0.86651,95,20,5
29153,0.86651,109,34,5
22900,0.68066,79,4,5
31593,0.93904,98,23,5
31218,0.92789,103,28,5
29932,0.88967,101,26,5
25441,0.75618,76,1,5
27579,0.81973,105,30,5
33557,0.99741,92,17,5
28416,0.84461,100,25,5
26135,0.77681,105,30,5
26741,0.79482,85,10,5
33283,0.98927,101,26,5
32272,0.95922,104,29,5
25253,0.75059,83,8,5
29701,0.8828,100,25,5
31319,0.93089,103,28,5
32734,0.97295,92,17,5
28777,0.85534,97,22,5
29427,0.87466,103,28,5
33586,0.99828,87,12,5
29687,0.88239,101,26,5
29066,0.86393,103,28,5
31593,0.93904,87,12,5
33557,0.99741,95,20,5
9767,0.80473,21,6,6
9869,0.81313,26,11,6
9731,0.80176,16,1,6
10465,0.86224,18,3,6
9921,0.81742,23,8,6
9893,0.81511,24,9,6
9894,0.81519,23,8,6
9876,0.81371,22,7,6
9877,0.81379,22,7,6
9715,0.80044,20,5,6
10030,0.8264,17,2,6
9903,0.81593,19,4,6
9776,0.80547,18,3,6
9345,0.76996,21,6,6
9996,0.8236,22,7,6
9894,0.81519,19,4,6
9864,0.81272,19,4,6
