9767,0.80473,21,6
9869,0.81313,26,11
9731,0.80176,16,1
10465,0.86224,18,3
9921,0.81742,23,8
9893,0.81511,24,9
9894,0.81519,23,8
9876,0.81371,22,7
9877,0.81379,22,7
9715,0.80044,20,5
10030,0.8264,17,2
9903,0.81593,19,4
9776,0.80547,18,3
9345,0.76996,21,6
9996,0.8236,22,7
9894,0.81519,19,4
9864,0.81272,19,4
10141,0.83554,16,1
9447,0.77836,18,3
9876,0.81371,22,7
9731,0.80176,17,2
9663,0.79616,24,9
9842,0.81091,18,3
9586,0.78982,21,6
10696,0.88127,22,7
9588,0.78998,22,7
9785,0.80621,18,3
10027,0.82615,22,7
9699,0.79913,19,4
9783,0.80605,19,4
