25041,0.96438,78,3
25433,0.97947,76,1
24541,0.94512,77,2
24930,0.9601,77,2
24952,0.96095,78,3
24693,0.95097,77,2
25126,0.96765,76,1
25503,0.98217,86,11
25333,0.97562,76,1
24952,0.96095,78,3
25163,0.96907,77,2
25300,0.97435,76,1
25448,0.98005,77,2
24619,0.94812,79,4
25152,0.96865,77,2
24704,0.9514,78,3
24767,0.95382,77,2
24885,0.95837,76,1
24426,0.94069,76,1
24745,0.95298,78,3
24989,0.96237,77,2
24841,0.95667,79,4
24745,0.95298,78,3
25403,0.97832,85,10
25189,0.97008,77,2
24789,0.95467,77,2
24830,0.95625,77,2
24556,0.9457,78,3
24978,0.96195,76,1
25059,0.96507,79,4
