X,pmutation,profit,weight,n,optimal_difference,optimal_value,contraint_met,pop_size,pcrossover,fitnessCalls
1,0.08,22872,46200,100,1,22872,1,100,0.51,26874
2,0.08,22872,46200,100,1,22872,1,100,0.51,25435
3,0.08,22872,46200,100,1,22872,1,100,0.51,26291
4,0.08,22872,46200,100,1,22872,1,100,0.51,25771
5,0.08,22872,46200,100,1,22872,1,100,0.51,25663
6,0.08,22872,46200,100,1,22872,1,100,0.51,24412
7,0.08,22872,46200,100,1,22872,1,100,0.51,27243
8,0.08,22872,46200,100,1,22872,1,100,0.51,24929
9,0.08,22872,46200,100,1,22872,1,100,0.51,26258
10,0.08,22872,46200,100,1,22872,1,100,0.51,35583
11,0.08,22872,46200,100,1,22872,1,100,0.51,23616
12,0.08,22872,46200,100,1,22872,1,100,0.51,26369
13,0.08,22872,46200,100,1,22872,1,100,0.51,23029
14,0.08,22872,46200,100,1,22872,1,100,0.51,27448
15,0.08,22872,46200,100,1,22872,1,100,0.51,26799
16,0.08,22872,46200,100,1,22872,1,100,0.51,26916
17,0.08,22872,46200,100,1,22872,1,100,0.51,23874
18,0.08,22872,46200,100,1,22872,1,100,0.51,26654
19,0.08,22872,46200,100,1,22872,1,100,0.51,25864
20,0.08,22872,46200,100,1,22872,1,100,0.51,24090
21,0.08,22872,46200,100,1,22872,1,100,0.51,26938
22,0.08,22872,46200,100,1,22872,1,100,0.51,25746
23,0.08,22872,46200,100,1,22872,1,100,0.51,24788
24,0.08,22872,46200,100,1,22872,1,100,0.51,25647
25,0.08,22872,46200,100,1,22872,1,100,0.51,27142
26,0.08,22872,46200,100,1,22872,1,100,0.51,26689
27,0.08,22872,46200,100,1,22872,1,100,0.51,25672
28,0.08,22872,46200,100,1,22872,1,100,0.51,31171
29,0.08,22872,46200,100,1,22872,1,100,0.51,26144
30,0.08,22872,46200,100,1,22872,1,100,0.51,26445
