X,pmutation,profit,weight,n,optimal_difference,optimal_value,contraint_met,pop_size,pcrossover,fitnessCalls
1,0.08,43824,25029,100,1,43824,1,100,0.51,23381
2,0.08,43824,25029,100,1,43824,1,100,0.51,24210
3,0.08,43824,25029,100,1,43824,1,100,0.51,23723
4,0.08,43824,25029,100,1,43824,1,100,0.51,21795
5,0.08,43824,25029,100,1,43824,1,100,0.51,22191
6,0.08,43824,25029,100,1,43824,1,100,0.51,23731
7,0.08,43824,25029,100,1,43824,1,100,0.51,24690
8,0.08,43824,25029,100,1,43824,1,100,0.51,23978
9,0.08,43824,25029,100,1,43824,1,100,0.51,22917
10,0.08,43824,25029,100,1,43824,1,100,0.51,22147
11,0.08,43824,25029,100,1,43824,1,100,0.51,22859
12,0.08,43824,25029,100,1,43824,1,100,0.51,24099
13,0.08,43824,25029,100,1,43824,1,100,0.51,23380
14,0.08,43824,25029,100,1,43824,1,100,0.51,24582
15,0.08,43824,25029,100,1,43824,1,100,0.51,24602
16,0.08,43824,25029,100,1,43824,1,100,0.51,24135
17,0.08,43824,25029,100,1,43824,1,100,0.51,24853
18,0.08,43824,25029,100,1,43824,1,100,0.51,24200
19,0.08,43824,25029,100,1,43824,1,100,0.51,22752
20,0.08,43824,25029,100,1,43824,1,100,0.51,23423
21,0.08,43824,25029,100,1,43824,1,100,0.51,23117
22,0.08,43824,25029,100,1,43824,1,100,0.51,23052
23,0.08,43824,25029,100,1,43824,1,100,0.51,22967
24,0.08,43824,25029,100,1,43824,1,100,0.51,25062
25,0.08,43824,25029,100,1,43824,1,100,0.51,23187
26,0.08,43824,25029,100,1,43824,1,100,0.51,23976
27,0.08,43824,25029,100,1,43824,1,100,0.51,22322
28,0.08,43824,25029,100,1,43824,1,100,0.51,22987
29,0.08,43824,25029,100,1,43824,1,100,0.51,22776
30,0.08,43824,25029,100,1,43824,1,100,0.51,23033
